GEO.id,INCOME.aggregate
8600000US02779,193158600
8600000US02780,1224400400
8600000US02790,556432600
8600000US02791,2267500
8600000US02802,32502000
8600000US02804,85082100
8600000US02806,830047100
8600000US02807,44291100
8600000US02808,72473900
8600000US02809,702627600
8600000US02812,67458200
8600000US02813,287895100
8600000US02814,242821300
8600000US02815,10096700
8600000US02816,947392100
8600000US02817,220654900
8600000US02818,920278500
8600000US02822,230753700
8600000US02825,196639800
8600000US02826,8523000
8600000US02827,74093600
8600000US02828,270703800
8600000US02830,212863800
8600000US02831,105478300
8600000US02832,161730800
8600000US02833,19309700
8600000US02835,260026900
8600000US02836,4249300
8600000US02837,172951800
8600000US02838,93005500
8600000US02839,53425600
8600000US02840,864761700
8600000US02841,
8600000US02842,555327100
8600000US02852,881986800
8600000US02857,306678900
8600000US02858,29981200
8600000US02859,180897800
8600000US02860,858635200
8600000US02861,668552800
8600000US02863,264851700
8600000US02864,1137291600
8600000US02865,662238100
8600000US02871,702463100
8600000US02873,6068200
8600000US02874,267782000
8600000US02875,14732000
8600000US02876,11457900
8600000US02878,547897400
8600000US02879,819374500
8600000US02881,116599400
8600000US02882,573016000
8600000US02885,327955100
8600000US02886,970173800
8600000US02888,590376200
8600000US02889,820724200
8600000US02891,711848100
8600000US02892,157386400
8600000US02893,785192900
8600000US02894,20039600
8600000US02895,831883400
8600000US02896,409647300
8600000US02898,40358200
8600000US02903,234767300
8600000US02904,691096500
8600000US02905,522848100
8600000US02906,1219031500
8600000US02907,355344900
8600000US02908,701853300
8600000US02909,629133600
8600000US02910,551179600
8600000US02911,410363800
8600000US02914,482332900
8600000US02915,473102800
8600000US02916,310682700
8600000US02917,372094800
8600000US02919,809852900
8600000US02920,944780200
8600000US02921,460064400
8600000US03031,546172700
8600000US03032,179351300
8600000US03033,185172300
8600000US03034,149806500
8600000US03036,195291400
8600000US03037,157329200
8600000US03038,1042270500
8600000US03042,207183300
8600000US03043,61486000
8600000US03044,137707300
8600000US03045,448319900
8600000US03046,120009500
8600000US03047,46965700
8600000US03048,104156800
8600000US03049,378695200
8600000US03051,836128900
8600000US03052,309211000
8600000US03053,903859900
8600000US03054,1013386700
8600000US03055,488912400
8600000US03057,89060000
8600000US03060,731070600
8600000US03062,1015158200
8600000US03063,596087500
8600000US03064,502903100
8600000US03070,216661700
8600000US03071,172341100
8600000US03076,475638600
8600000US03077,289929900
8600000US03079,1015732500
8600000US03082,49385500
8600000US03084,43714700
8600000US03086,136839100
8600000US03087,670149300
8600000US03101,88737100
8600000US03102,771868000
8600000US03103,812240800
8600000US03104,1026744500
8600000US03106,468720700
8600000US03109,321020400
8600000US03110,1132162400
8600000US03215,14770400
8600000US03216,63948800
8600000US03217,34869300
8600000US03218,22498200
8600000US03220,189448000
8600000US03221,59008100
8600000US03222,140663900
8600000US03223,103155800
8600000US03224,94911600
8600000US03225,101798900
8600000US03226,34455200
8600000US03227,29261700
8600000US03229,225916500
8600000US03230,32562100
8600000US03231,12528700
8600000US03233,6312800
8600000US03234,142640100
8600000US03235,177784500
8600000US03237,75853800
8600000US03238,1440900
8600000US03240,32094800
8600000US03241,21193800
