GEO.id,RACE.white,RACE.black,RACE.native,RACE.asian,RACE.pacific,RACE.other,RACE.two
8600000US02149,29635,5864,43,1564,0,2538,1963
8600000US02150,17033,2339,31,1081,0,2471,12572
8600000US02151,39248,1814,207,3050,0,4653,2757
8600000US02152,16225,219,10,153,21,407,549
8600000US02155,46862,4749,69,4714,27,439,1707
8600000US02163,1254,135,0,389,0,39,25
8600000US02169,38710,3507,95,10267,0,626,838
8600000US02170,12646,369,4,6136,0,272,535
8600000US02171,11106,502,68,5956,0,120,321
8600000US02176,25045,472,3,1148,0,46,329
8600000US02180,19517,324,43,943,0,312,275
8600000US02184,31056,1176,9,2655,0,338,497
8600000US02186,21377,3591,0,1502,0,91,393
8600000US02188,12417,822,26,801,0,65,75
8600000US02189,12506,982,16,716,0,92,495
8600000US02190,14756,370,63,629,0,163,195
8600000US02191,8393,26,0,254,0,12,59
8600000US02199,1198,13,0,79,0,0,0
8600000US02203,0,0,0,0,0,0,0
8600000US02210,1802,0,3,28,0,0,72
8600000US02215,17748,928,19,4049,19,552,404
8600000US02301,27120,24926,153,1363,21,4778,1904
8600000US02302,19565,9720,48,491,0,2309,1518
8600000US02322,3607,528,117,35,0,21,41
8600000US02324,24237,1516,29,145,0,190,570
8600000US02330,11004,122,0,66,0,126,179
8600000US02332,14724,23,5,171,0,27,90
8600000US02333,13496,51,25,76,0,67,79
8600000US02338,7129,0,138,0,0,35,222
8600000US02339,13485,51,0,200,19,0,147
8600000US02341,9619,236,3,44,0,13,294
8600000US02343,8707,1319,19,314,0,76,160
8600000US02346,21852,435,39,382,20,101,208
8600000US02347,10062,323,0,138,0,41,110
8600000US02351,15001,357,39,365,0,89,79
8600000US02356,11910,446,0,75,0,86,213
8600000US02357,862,85,0,54,0,0,9
8600000US02359,16969,290,34,139,0,100,299
8600000US02360,53346,1195,130,336,13,712,693
8600000US02364,11994,11,25,236,0,39,304
8600000US02366,79,40,0,0,0,17,13
8600000US02367,2754,0,0,0,0,12,51
8600000US02368,13131,13829,178,3867,0,1046,526
8600000US02370,16204,703,13,279,0,58,261
8600000US02375,8559,337,0,251,0,187,146
8600000US02379,6247,335,17,74,0,10,224
8600000US02382,13776,225,27,146,0,106,213
8600000US02420,10464,112,9,2997,0,3,342
8600000US02421,13150,241,53,3482,0,100,574
8600000US02445,16464,665,13,2624,0,581,506
8600000US02446,22211,583,54,4850,0,563,546
8600000US02451,13218,506,42,1868,73,453,413
8600000US02452,10832,890,26,1819,8,429,430
8600000US02453,22313,1784,0,2853,32,2404,443
8600000US02457,916,137,0,196,0,14,80
8600000US02458,9069,450,0,1472,0,80,291
8600000US02459,14743,199,12,2688,0,172,396
8600000US02460,7719,81,0,710,0,31,98
8600000US02461,5006,242,0,1330,0,20,258
8600000US02462,1032,11,0,243,0,0,6
8600000US02464,2458,43,0,475,0,86,50
8600000US02465,10140,389,0,1035,0,99,159
8600000US02466,6731,267,10,1487,0,26,70
8600000US02467,17337,749,0,4043,49,213,405
8600000US02468,4614,9,0,595,0,0,33
8600000US02472,27490,1393,75,2036,27,519,734
8600000US02474,22615,737,20,2091,0,115,501
8600000US02476,14502,542,1,1319,0,41,468
8600000US02478,20725,356,32,2861,19,242,456
8600000US02481,13603,274,0,1662,33,307,453
8600000US02482,9071,144,8,1038,0,96,156
8600000US02492,17995,538,0,952,0,166,299
8600000US02493,9661,265,0,1159,0,53,292
8600000US02494,7639,134,0,1011,2,88,181
8600000US02532,11237,154,26,38,0,59,78
8600000US02534,969,13,0,0,0,0,0
8600000US02535,998,5,167,0,0,7,63
8600000US02536,17369,566,21,542,0,356,670
8600000US02537,6003,33,0,69,0,15,136
8600000US02538,3097,63,0,0,0,0,2
8600000US02539,3933,67,0,0,0,0,86
8600000US02540,7972,104,57,264,0,0,124
8600000US02542,723,72,66,3,8,23,389
8600000US02543,668,7,0,8,0,1,0
8600000US02553,314,0,0,0,0,0,0
8600000US02554,8802,570,1,125,0,77,272
8600000US02556,2849,24,0,17,0,0,0
8600000US02557,3811,448,12,132,0,110,0
8600000US02558,1456,71,0,0,0,264,0
8600000US02559,3639,100,0,78,0,62,62
8600000US02561,471,0,0,0,0,0,0
8600000US02562,3216,0,0,8,0,0,8
8600000US02563,9406,48,0,56,0,206,30
8600000US02564,328,5,0,0,0,10,4
8600000US02568,3724,98,0,8,0,103,34
8600000US02571,9614,203,0,136,0,921,381
8600000US02575,2551,33,0,0,0,22,0
8600000US02576,3530,46,0,125,16,124,57
8600000US02584,0,0,0,0,0,0,0
8600000US02601,10900,962,282,221,0,638,399
8600000US02630,2097,9,0,19,0,0,4
8600000US02631,9309,194,12,25,0,8,173
8600000US02632,10786,41,56,141,0,165,277
8600000US02633,3654,335,0,22,0,19,27
8600000US02635,3295,44,0,16,0,11,0
8600000US02637,67,0,0,15,0,0,0
8600000US02638,3512,0,24,0,0,26,0
8600000US02639,3135,0,0,11,0,0,94
8600000US02641,501,0,0,0,0,0,0
8600000US02642,4816,19,22,100,0,0,6
8600000US02643,17,0,0,0,0,0,0
